20775,98974
77119,51395
91793,94068
86136,39590
98404,56434
28065,31126
64705,36483
74614,59419
20935,67955
29971,60974
98452,13123
44548,98416
55434,48128
75128,96363
63743,44559
12748,93208
46979,59224
26297,49929
21719,79885
38706,79889
96800,96660
30425,20765
12287,62268
34837,92081
75644,65290
46134,39056
80076,45718
37468,42526
81656,82246
59334,87462
32766,49729
97193,95388
66490,63840
60546,28480
72272,78173
30134,94137
27961,39405
33608,23921
55748,13439
40912,59502
11624,48092
30600,46281
54302,35378
93678,12768
57960,65406
54529,16963
42866,49844
46696,68833
90908,80218
39970,14453
18382,26228
96822,84137
40522,92542
41475,85898
79111,21481
19871,98435
10121,71689
91866,71430
34625,15172
32798,32911
16900,29451
94495,47271
31431,79609
83387,60020
18071,96273
29374,58605
72291,19153
26970,56473
49396,93354
97321,90617
51178,41277
20494,30483
57683,49756
54031,20053
76375,15656
62199,81020
23506,63445
22296,10202
50794,83906
10470,13805
23050,44824
86911,80273
67890,77475
61413,30488
72369,84053
55958,60158
83742,55628
61516,69922
65007,44410
56910,91045
45052,47827
24051,60180
61209,15186
86473,64727
12920,41147
79619,34401
63675,45003
58351,22561
83489,67333
17172,67196
18501,25364
92543,63804
59274,82343
18888,69462
94669,58195
36320,28932
47167,77711
88000,33150
37882,21052
20250,29623
89210,43312
17653,58711
84034,23916
58086,22171
27117,43282
74163,76699
15092,24911
71395,31679
96841,62506
76614,33343
54590,57238
25892,33351
75025,25083
60283,73579
88707,47593
45477,98918
85051,80957
43103,35520
68880,92614
93737,54916
84396,13347
93146,50814
48864,46061
11379,85707
63654,83787
51046,22302
69440,47896
93419,98892
77610,37020
37523,72095
33192,47269
49386,85699
42722,74691
30951,60537
59966,16581
19661,52322
10841,61984
44548,29504
41925,11276
27384,10581
88539,97636
22539,21530
28289,59520
85776,87676
19736,62130
13202,88438
65852,25222
76427,97995
74178,36172
59776,62942
28355,62223
93387,92927
30489,25142
80990,47767
12565,94916
80427,36693
21656,79176
96560,21537
30806,35816
72423,85917
76452,19030
90113,25101
57510,83807
84642,44897
84205,52228
16375,42946
46832,45705
77617,85233
98923,57505
79519,79037
41467,10233
84537,75717
72623,84077
10455,82625
22727,46863
98855,66636
99222,90959
13403,86503
61021,31448
72903,54232
62938,50828
69402,15438
24086,66070
75660,21499
18987,81708
61873,45823
53860,93461
37868,24758
66256,57525
51333,14657
53454,64673
50973,99312
35284,90866
26356,95384
31393,59126
98822,54413
40256,10576
78924,45305
28748,85553
80537,21353
61245,48532
93618,52507
75621,37827
64334,69082
22175,87144
18519,78509
60762,85834
91040,62252
80080,59793
43267,66860
89506,28976
52327,24656
10479,26065
75603,53739
84676,63642
40312,35751
24625,45193
99496,13040
15076,50614
43137,15547
27314,72791
40091,38726
44063,62457
39353,42561
47376,46560
96514,58586
80132,52283
60397,28073
68409,21442
41725,45210
34940,93600
33960,63879
96145,31720
72301,53165
47739,59706
14954,80000
83369,13345
78846,70716
98428,65343
70307,92755
97842,92713
80817,24977
48206,12609
89170,54429
25347,38876
57072,52127
10899,53248
55543,26839
32861,76177
54595,24836
25080,62417
90080,10515
40438,93772
98260,61491
63719,14167
14325,22476
45008,61881
78209,73161
13184,27119
16980,54405
31913,25129
52633,80326
89858,20445
75670,34276
38600,40340
51678,38145
20009,50010
25472,34892
12423,39391
16738,78755
26418,79165
17978,83358
51525,22710
48075,87537
